date,home_team,away_team,home_score,away_score,key,Unnamed: 0
06.07. 22:00,Canada,Scotland,12,73,https://www.flashscore.com/match/0ppi3qGi/#/match-summary,70.0
06.07. 20:00,Argentina,France,13,28,https://www.flashscore.com/match/4OVmtFnk/#/match-summary,71.0
06.07. 20:00,Chile,Hong Kong,22,17,https://www.flashscore.com/match/6wFWmMgD/#/match-summary,72.0
06.07. 16:00,South Africa,Ireland,27,20,https://www.flashscore.com/match/lQSQBCys/#/match-summary,73.0
06.07. 10:45,Australia,Wales,25,16,https://www.flashscore.com/match/zTk4fB66/#/match-summary,74.0
06.07. 10:00,Japan,Maori All Blacks,26,14,https://www.flashscore.com/match/6wJXlGh5/#/match-summary,75.0
06.07. 08:05,New Zealand,England,16,15,https://www.flashscore.com/match/SGRUAWjm/#/match-summary,76.0
06.07. 01:00,USA,Romania,20,22,https://www.flashscore.com/match/pOQNkrP0/#/match-summary,77.0
05.07. 17:00,Georgia,Fiji,12,21,https://www.flashscore.com/match/xbNFi4fl/#/match-summary,78.0
05.07. 05:00,Samoa,Italy,33,25,https://www.flashscore.com/match/ETL9j6Wo/#/match-summary,79.0
29.06. 11:00,Japan,Maori All Blacks,10,36,https://www.flashscore.com/match/bDFPjxOh/#/match-summary,80.0
22.06. 17:15,Barbarians,Fiji,45,32,https://www.flashscore.com/match/6mbmbg7s/#/match-summary,81.0
