date,home_team,away_team,home_score,away_score,key,date_2,Home_tries,Home_conv,Home_conv_att,Home_pg,Home_pg_att,Away_tries,Away_conv,Away_conv_att,Away_pg,Away_pg_att
23.08. 07:00,Fiji,Samoa,42,16,https://www.flashscore.com/match/QF7m8RPh/#/match-summary,2024-08-23,6.0,3.0,3.0,2.0,2.0,1.0,1.0,1.0,3.0,3.0
24.11. 14:00,Georgia,Tonga,22,7,https://www.flashscore.com/match/E7foxQ4F/#/match-summary,2024-11-24,3.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
23.11. 20:10,Italy,New Zealand,11,29,https://www.flashscore.com/match/rT9QgYGl/#/match-summary,2024-11-23,1.0,0.0,1.0,2.0,2.0,4.0,3.0,4.0,1.0,1.0
23.11. 18:00,Scotland A,Chile,19,17,https://www.flashscore.com/match/UqOkrbsp/#/match-summary,2024-11-23,3.0,1.0,1.0,0.0,0.0,2.0,2.0,2.0,1.0,1.0
23.11. 17:40,Wales,South Africa,12,45,https://www.flashscore.com/match/d660BRnp/#/match-summary,2024-11-23,2.0,1.0,2.0,0.0,0.0,7.0,5.0,6.0,0.0,0.0
23.11. 16:00,Romania,Uruguay,21,23,https://www.flashscore.com/match/2ZwBktkA/#/match-summary,2024-11-23,2.0,1.0,1.0,3.0,3.0,2.0,2.0,2.0,3.0,3.0
23.11. 15:10,Ireland,Fiji,52,17,https://www.flashscore.com/match/4W9895Hd/#/match-summary,2024-11-23,8.0,6.0,8.0,0.0,0.0,2.0,2.0,2.0,1.0,1.0
23.11. 11:45,Spain,USA,23,26,https://www.flashscore.com/match/ULu3i2Kc/#/match-summary,2024-11-23,3.0,1.0,1.0,2.0,2.0,4.0,3.0,3.0,0.0,0.0
22.11. 20:10,France,Argentina,37,23,https://www.flashscore.com/match/SdHr2d98/#/match-summary,2024-11-22,4.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,3.0,3.0
17.11. 16:10,Wales,Australia,20,52,https://www.flashscore.com/match/KMn0Fe5F/#/match-summary,2024-11-17,2.0,2.0,2.0,2.0,2.0,8.0,6.0,8.0,0.0,0.0
17.11. 14:00,England A,Australia A,38,17,https://www.flashscore.com/match/EJYPV6aM/#/match-summary,2024-11-17,6.0,4.0,4.0,0.0,0.0,2.0,2.0,2.0,1.0,1.0
17.11. 13:40,Italy,Georgia,20,17,https://www.flashscore.com/match/xMPTGmPM/#/match-summary,2024-11-17,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0
16.11. 17:40,England,South Africa,20,29,https://www.flashscore.com/match/KWVZYcuM/#/match-summary,2024-11-16,2.0,2.0,2.0,2.0,2.0,4.0,3.0,4.0,1.0,1.0
16.11. 16:30,USA,Tonga,36,17,https://www.flashscore.com/match/A5pTvPzh/#/match-summary,2024-11-16,5.0,4.0,4.0,1.0,1.0,3.0,1.0,1.0,0.0,0.0
16.11. 16:00,Romania,Canada,35,27,https://www.flashscore.com/match/UVrHTbSj/#/match-summary,2024-11-16,5.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0
16.11. 15:10,Scotland,Portugal,59,21,https://www.flashscore.com/match/AH8c69S0/#/match-summary,2024-11-16,9.0,6.0,8.0,0.0,0.0,3.0,3.0,3.0,0.0,0.0
16.11. 14:00,Spain,Fiji,19,33,https://www.flashscore.com/match/OKW26u5m/#/match-summary,2024-11-16,1.0,0.0,0.0,4.0,4.0,5.0,4.0,5.0,0.0,0.0
16.11. 13:30,Japan,Uruguay,36,20,https://www.flashscore.com/match/xY3xyszH/#/match-summary,2024-11-16,5.0,1.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0
