,url,Attribute,Home Result,Away Result
54,https://www.flashscore.com/match/b70LV1Pj/#/match-summary/match-statistics/0,Tries,2,3
55,https://www.flashscore.com/match/b70LV1Pj/#/match-summary/match-statistics/0,Conversion Goals,1,3
56,https://www.flashscore.com/match/b70LV1Pj/#/match-summary/match-statistics/0,Conversion Goal Attempts,2,3
57,https://www.flashscore.com/match/b70LV1Pj/#/match-summary/match-statistics/0,Penalty Goals,5,1
58,https://www.flashscore.com/match/b70LV1Pj/#/match-summary/match-statistics/0,Penalty Goal Attempts,6,4
59,https://www.flashscore.com/match/b70LV1Pj/#/match-summary/match-statistics/0,Goals %,78,57
60,https://www.flashscore.com/match/b70LV1Pj/#/match-summary/match-statistics/0,Dropped Goals,1,0
61,https://www.flashscore.com/match/b70LV1Pj/#/match-summary/match-statistics/0,Dropped Goal Attempts,1,0
62,https://www.flashscore.com/match/b70LV1Pj/#/match-summary/match-statistics/0,Total Runs,93,128
63,https://www.flashscore.com/match/b70LV1Pj/#/match-summary/match-statistics/0,Metres Run With Ball,515,407
64,https://www.flashscore.com/match/b70LV1Pj/#/match-summary/match-statistics/0,Yellow Cards,0,1
65,https://www.flashscore.com/match/pvNtKhzh/#/match-summary/match-statistics/0,Tries,3,3
66,https://www.flashscore.com/match/pvNtKhzh/#/match-summary/match-statistics/0,Conversion Goals,2,2
67,https://www.flashscore.com/match/pvNtKhzh/#/match-summary/match-statistics/0,Conversion Goal Attempts,2,3
68,https://www.flashscore.com/match/pvNtKhzh/#/match-summary/match-statistics/0,Penalty Goals,1,3
69,https://www.flashscore.com/match/pvNtKhzh/#/match-summary/match-statistics/0,Penalty Goal Attempts,2,4
70,https://www.flashscore.com/match/pvNtKhzh/#/match-summary/match-statistics/0,Goals %,75,71
71,https://www.flashscore.com/match/pvNtKhzh/#/match-summary/match-statistics/0,Dropped Goals,0,0
72,https://www.flashscore.com/match/pvNtKhzh/#/match-summary/match-statistics/0,Dropped Goal Attempts,0,0
73,https://www.flashscore.com/match/pvNtKhzh/#/match-summary/match-statistics/0,Total Runs,173,120
74,https://www.flashscore.com/match/pvNtKhzh/#/match-summary/match-statistics/0,Metres Run With Ball,633,467
75,https://www.flashscore.com/match/pvNtKhzh/#/match-summary/match-statistics/0,Yellow Cards,0,2
76,https://www.flashscore.com/match/I5EoEbx5/#/match-summary/match-statistics/0,Tries,2,2
77,https://www.flashscore.com/match/I5EoEbx5/#/match-summary/match-statistics/0,Conversion Goals,2,2
78,https://www.flashscore.com/match/I5EoEbx5/#/match-summary/match-statistics/0,Conversion Goal Attempts,2,2
79,https://www.flashscore.com/match/I5EoEbx5/#/match-summary/match-statistics/0,Penalty Goals,1,5
