home_team,away_team,home_score,away_score,Home_tries,Away_tries,Home_conv,Away_conv,Home_conv_att,Away_conv_att,Home_pg,Away_pg,Home_pg_att,Away_pg_att,Home_dg,Away_dg,Home_dg_att,Away_dg_att,date,home_num,away_num
France,Italy,60,7,8.0,1.0,7.0,1.0,7.0,1.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2023-10-06,8,12
Wales,Georgia,43,19,6.0,3.0,5.0,2.0,6.0,3.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2023-10-07,31,9
England,Samoa,18,17,2.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,3.0,2.0,0.0,0.0,0.0,0.0,2023-10-07,6,21
Ireland,Scotland,36,14,6.0,2.0,3.0,2.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023-10-07,11,22
Japan,Argentina,27,39,3.0,5.0,3.0,4.0,3.0,5.0,1.0,2.0,1.0,3.0,1.0,0.0,0.0,0.0,2023-10-08,13,0
Fiji,Portugal,23,24,2.0,3.0,2.0,3.0,2.0,3.0,3.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,2023-10-08,7,19
Tonga,Romania,45,24,7.0,3.0,5.0,3.0,7.0,3.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,2023-10-08,26,20
Wales,Argentina,17,29,2.0,2.0,2.0,2.0,2.0,2.0,1.0,5.0,2.0,6.0,0.0,0.0,0.0,0.0,2023-10-14,31,0
Ireland,New Zealand,24,28,3.0,3.0,2.0,2.0,2.0,3.0,1.0,3.0,2.0,4.0,0.0,0.0,0.0,0.0,2023-10-14,11,17
France,South Africa,28,29,3.0,4.0,2.0,3.0,3.0,4.0,3.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0,2023-10-15,8,23
England,Fiji,30,24,2.0,3.0,1.0,3.0,2.0,3.0,5.0,1.0,6.0,4.0,1.0,0.0,1.0,0.0,2023-10-15,6,7
Argentina,New Zealand,6,44,0.0,7.0,0.0,3.0,0.0,7.0,2.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,2023-10-20,0,17
