home_team,home_score
Scotland,35.4
Fiji,35.0
Japan,32.0
France,30.333333333333332
Samoa,29.333333333333332
Canada,28.0
USA,28.0
New Zealand,28.0
South Africa,25.5
Tonga,24.5
Ireland,23.8
England,23.6
Italy,23.25
Argentina,23.0
Wales,20.5
Australia,20.0
Spain,19.0
