,mean,sd,hdi_3%,hdi_97%,r_hat
away_theta[13],20.94,3.88,13.73,28.03,1.0
away_theta[14],22.59,3.55,16.47,29.34,1.02
away_theta[15],32.19,5.58,22.05,42.57,1.01
away_theta[16],20.48,3.19,14.39,26.2,1.0
away_theta[17],22.67,3.82,15.81,29.81,1.0
away_theta[18],17.79,3.34,11.33,23.52,1.0
away_theta[19],27.91,4.42,19.62,35.97,1.0
away_theta[20],20.48,3.19,14.39,26.2,1.0
away_theta[21],22.67,3.82,15.81,29.81,1.0
away_theta[22],17.79,3.34,11.33,23.52,1.0
away_theta[23],27.91,4.42,19.62,35.97,1.0
away_theta[24],30.21,5.6,20.48,40.72,1.0
away_theta[25],22.15,3.68,15.43,29.22,1.0
away_theta[26],22.15,3.68,15.43,29.22,1.0
away_theta[27],30.21,5.6,20.48,40.72,1.0
away_theta[28],22.01,4.34,14.27,30.16,1.0
away_theta[29],34.38,7.44,21.31,48.19,1.0
away_theta[30],25.29,5.3,15.63,35.2,1.0
away_theta[31],20.98,4.59,12.87,29.59,1.01
away_theta[32],33.02,6.65,22.45,46.19,1.0
away_theta[33],26.34,5.33,16.63,36.19,1.01
away_theta[34],27.15,6.01,16.96,39.34,1.0
away_theta[35],19.28,4.44,11.45,27.2,1.01
away_theta[36],31.21,6.0,21.06,42.57,1.0
away_theta[37],23.08,5.12,13.71,32.37,1.01
away_theta[38],25.98,4.79,17.07,34.8,1.01
away_theta[39],34.93,6.37,24.05,46.96,1.0
away_theta[40],26.29,3.87,18.72,33.05,1.0
away_theta[41],25.54,4.51,17.74,34.14,1.0
away_theta[42],20.31,3.6,13.94,27.19,1.0
away_theta[43],24.39,4.06,17.19,31.95,1.0
away_theta[44],27.35,4.8,19.45,37.41,1.0
away_theta[45],25.43,4.31,17.45,33.32,1.0
away_theta[46],30.32,5.04,21.44,39.84,1.0
away_theta[47],27.09,4.87,19.02,36.79,1.0
away_theta[48],19.95,3.54,13.59,26.63,1.0
away_theta[49],29.47,6.43,18.15,41.98,1.0
away_theta[50],28.33,7.06,16.64,41.85,1.0
away_theta[51],23.23,4.9,15.32,33.15,1.0
away_theta[52],27.36,4.69,19.0,35.83,1.0
away_theta[53],24.86,4.06,17.7,32.52,1.01
away_theta[54],23.91,5.23,13.9,33.19,1.0
away_theta[55],28.61,4.38,20.33,36.48,1.0
away_theta[56],24.38,3.76,17.59,31.52,1.0
