,mean,sd,hdi_3%,hdi_97%,r_hat
away_theta[11],33.39,5.36,24.3,44.07,1.0
away_theta[12],22.72,3.45,16.15,29.24,1.0
away_theta[13],15.95,2.73,11.0,20.96,1.0
away_theta[14],23.61,4.63,15.73,32.57,1.0
away_theta[15],36.21,5.2,26.16,45.21,1.0
away_theta[16],17.22,2.26,13.08,21.56,1.0
away_theta[17],18.92,2.93,14.07,24.77,1.0
away_theta[18],15.16,3.57,9.14,21.92,1.0
away_theta[19],27.11,2.96,21.91,33.24,1.0
away_theta[20],17.22,2.26,13.08,21.56,1.0
away_theta[21],18.92,2.93,14.07,24.77,1.0
away_theta[22],15.16,3.57,9.14,21.92,1.0
away_theta[23],27.11,2.96,21.91,33.24,1.0
away_theta[24],31.41,3.5,24.37,37.65,1.0
away_theta[25],16.87,4.01,10.24,24.73,1.0
away_theta[26],16.87,4.01,10.24,24.73,1.0
away_theta[27],31.41,3.5,24.37,37.65,1.0
away_theta[28],15.45,3.04,9.72,21.12,1.0
away_theta[29],35.59,11.56,18.2,56.64,1.0
away_theta[30],20.93,5.05,11.86,30.33,1.0
away_theta[31],15.46,3.33,9.64,22.3,1.0
away_theta[32],33.26,10.27,16.81,51.43,1.0
away_theta[33],22.65,4.03,14.91,30.23,1.0
away_theta[34],24.26,7.15,11.96,37.23,1.0
away_theta[35],13.81,3.22,7.49,19.35,1.0
away_theta[36],29.93,10.09,13.88,48.13,1.0
away_theta[37],19.15,4.84,11.33,28.74,1.0
away_theta[38],20.95,4.99,12.71,30.84,1.0
away_theta[39],34.92,8.42,20.71,50.74,1.0
away_theta[40],23.8,3.3,18.16,30.22,1.0
away_theta[41],20.98,3.66,14.51,27.97,1.0
away_theta[42],18.0,3.28,11.69,23.81,1.0
away_theta[43],18.98,4.26,11.71,26.7,1.0
away_theta[44],25.99,6.68,13.76,38.68,1.0
away_theta[45],24.73,6.23,14.39,36.94,1.0
away_theta[46],28.17,4.2,20.73,36.11,1.0
away_theta[47],26.88,4.06,19.47,34.16,1.0
away_theta[48],16.71,3.39,10.6,23.06,1.0
away_theta[49],24.27,5.47,15.12,34.27,1.0
away_theta[50],27.73,6.55,15.07,39.08,1.0
away_theta[51],19.71,4.07,11.96,27.33,1.0
away_theta[52],27.94,3.47,20.84,34.33,1.0
away_theta[53],24.53,4.69,15.87,32.92,1.0
away_theta[54],20.28,4.56,12.35,28.89,1.0
away_theta[55],24.34,4.54,16.3,32.5,1.0
away_theta[56],22.59,3.79,14.98,29.63,1.0
