date,home_team,away_team,home_score,away_score,Home_tries,Away_tries,Home_conv,Away_conv,Home_conv_att,Away_conv_att,Home_pg,Away_pg,Home_pg_att,Away_pg_att,Home_dg,Away_dg,Home_dg_att,Away_dg_att,Home_pg_dg,Away_pg_dg
2023-10-01,Australia,Portugal,34,14,5.0,2.0,3.0,2.0,5.0,2.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2023-10-05,New Zealand,Uruguay,73,0,11.0,0.0,9.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-10-06,France,Italy,60,7,8.0,1.0,7.0,1.0,7.0,1.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
2023-10-07,Ireland,Scotland,36,14,6.0,2.0,3.0,2.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-10-07,England,Samoa,18,17,2.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,3.0,2.0,0.0,0.0,0.0,0.0,2.0,1.0
2023-10-07,Wales,Georgia,43,19,6.0,3.0,5.0,2.0,6.0,3.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2023-10-08,Fiji,Portugal,23,24,2.0,3.0,2.0,3.0,2.0,3.0,3.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0
2023-10-08,Japan,Argentina,27,39,3.0,5.0,3.0,4.0,3.0,5.0,1.0,2.0,1.0,3.0,1.0,0.0,0.0,0.0,2.0,2.0
2023-10-08,Tonga,Romania,45,24,7.0,3.0,5.0,3.0,7.0,3.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0
2023-10-14,Wales,Argentina,17,29,2.0,2.0,2.0,2.0,2.0,2.0,1.0,5.0,2.0,6.0,0.0,0.0,0.0,0.0,1.0,5.0
2023-10-14,Ireland,New Zealand,24,28,3.0,3.0,3.0,2.0,2.0,3.0,1.0,3.0,2.0,4.0,0.0,0.0,0.0,0.0,1.0,3.0
