,mean,sd,hdi_3%,hdi_97%,r_hat
p_home_conv[2],0.75,0.04,0.68,0.83,1.04
p_home_conv[3],0.75,0.04,0.68,0.81,1.03
p_home_conv[4],0.74,0.04,0.66,0.83,1.08
p_home_conv[5],0.75,0.04,0.68,0.83,1.04
p_home_conv[6],0.75,0.04,0.68,0.81,1.03
p_home_conv[7],0.75,0.03,0.69,0.81,1.03
p_home_conv[8],0.75,0.04,0.68,0.82,1.05
p_home_conv[9],0.75,0.04,0.69,0.82,1.04
p_home_conv[10],0.75,0.04,0.69,0.82,1.04
p_home_conv[11],0.74,0.04,0.67,0.81,1.03
p_home_conv[12],0.75,0.04,0.69,0.83,1.04
p_home_conv[13],0.75,0.04,0.67,0.82,1.05
p_home_conv[14],0.75,0.04,0.67,0.82,1.04
p_home_conv[15],0.75,0.04,0.67,0.81,1.06
p_home_conv[16],0.75,0.04,0.67,0.81,1.04
p_home_conv[17],0.75,0.04,0.67,0.82,1.05
p_home_conv[18],0.75,0.04,0.69,0.82,1.04
p_home_conv[19],0.75,0.04,0.67,0.82,1.04
p_home_conv[20],0.75,0.04,0.67,0.81,1.06
p_home_conv[21],0.75,0.04,0.67,0.81,1.07
p_home_conv[22],0.75,0.04,0.69,0.83,1.04
p_home_conv[23],0.75,0.04,0.67,0.82,1.05
p_home_conv[24],0.75,0.04,0.69,0.82,1.04
p_away_conv[0],0.75,0.04,0.67,0.82,1.04
p_away_conv[1],0.75,0.04,0.69,0.82,1.04
p_away_conv[2],0.75,0.04,0.67,0.82,1.04
p_away_conv[3],0.75,0.04,0.67,0.81,1.06
p_away_conv[4],0.75,0.04,0.67,0.81,1.04
p_away_conv[5],0.75,0.04,0.67,0.82,1.05
p_away_conv[6],0.75,0.04,0.69,0.82,1.04
p_away_conv[7],0.75,0.04,0.67,0.81,1.04
p_away_conv[8],0.75,0.04,0.67,0.82,1.04
p_away_conv[9],0.75,0.04,0.67,0.81,1.06
p_away_conv[10],0.75,0.03,0.69,0.81,1.03
p_away_conv[11],0.75,0.04,0.68,0.83,1.04
p_away_conv[12],0.75,0.04,0.67,0.81,1.04
p_away_conv[13],0.75,0.04,0.67,0.81,1.05
p_away_conv[14],0.74,0.04,0.67,0.81,1.03
p_away_conv[15],0.74,0.04,0.67,0.81,1.05
p_away_conv[16],0.75,0.04,0.68,0.81,1.03
p_away_conv[17],0.74,0.04,0.66,0.83,1.08
p_away_conv[18],0.74,0.04,0.67,0.81,1.03
p_away_conv[19],0.75,0.04,0.69,0.82,1.04
p_away_conv[20],0.75,0.04,0.68,0.82,1.05
p_away_conv[21],0.75,0.04,0.68,0.83,1.04
p_away_conv[22],0.75,0.04,0.68,0.82,1.03
p_away_conv[23],0.75,0.04,0.69,0.82,1.04
p_away_conv[24],0.75,0.04,0.68,0.82,1.05
