home_team,home_score
Argentina,23.0
Australia,20.0
Canada,28.0
England,23.6
Fiji,35.0
France,30.333333333333332
Ireland,23.8
Italy,23.25
Japan,32.0
New Zealand,28.0
Samoa,29.333333333333332
Scotland,35.4
South Africa,25.5
Spain,19.0
Tonga,24.5
USA,28.0
Wales,20.5
