away_team,away_score
Australia,47.0
New Zealand,35.0
Japan,33.25
South Africa,33.0
Fiji,31.0
France,29.5
Argentina,28.0
Ireland,26.25
Scotland,23.0
England,22.2
Portugal,21.0
Uruguay,20.0
Georgia,17.0
Tonga,17.0
Wales,16.25
Samoa,16.0
Canada,16.0
USA,13.333333333333334
Italy,12.333333333333334
