,home_team,home_score,away_team,away_score,Mean_x,std_x,95_flag_x,68_flag_x,50_flag_x,Mean_y,std_y,95_flag_y,68_flag_y,50_flag_y,home_resid,away_resid
0,France,17,Ireland,38,21.82,10.231844688574647,1,1,1,21.37,11.493763561039827,1,0,0,-4.82,16.63
1,Italy,24,England,27,20.7,10.2498770485163,1,1,1,23.99,11.963750992130443,1,1,1,3.3000000000000007,3.0100000000000016
2,Wales,26,Scotland,27,20.44,9.939736565801624,1,1,1,32.08,12.950842594722031,1,1,1,5.559999999999999,-5.079999999999998
3,Scotland,16,France,20,25.81,10.584836156636381,1,1,0,25.37,12.121801516141453,1,1,1,-9.809999999999999,-5.370000000000001
4,England,16,Wales,14,28.07,11.044053214093607,1,0,0,19.87,11.233534679137515,1,1,1,-12.07,-5.870000000000001
5,Ireland,36,Italy,0,26.18,11.206231194267332,1,1,0,17.15,10.504707902169987,0,0,0,9.82,-17.15
6,Ireland,31,Wales,7,29.29,10.927299624181533,1,1,1,16.84,10.60321230508075,1,1,0,1.7100000000000009,-9.84
7,Scotland,30,England,21,28.26,10.992416012591093,1,1,1,22.02,11.428198146798726,1,1,1,1.7399999999999984,-1.0199999999999996
8,France,13,Italy,13,28.96,11.123568188586896,1,0,0,19.0,11.083763098118594,1,1,1,-15.96,-6.0
9,Italy,31,Scotland,29,20.86,10.292145412539336,1,1,0,28.66,12.805508446015198,1,1,1,10.14,0.33999999999999986
10,England,23,Ireland,22,18.9,9.887974035851881,1,1,1,22.88,11.567235613886268,1,1,1,4.100000000000001,-0.879999999999999
11,Wales,24,France,45,18.83,9.779487948690214,1,1,1,30.68,12.823332314020732,1,0,0,5.170000000000002,14.32
12,Wales,21,Italy,24,21.84,10.20346439333823,1,1,1,24.0,12.098754984692288,1,1,1,-0.8399999999999999,0.0
13,Ireland,17,Scotland,13,23.97,10.351149067122828,1,1,1,21.82,11.782930818685204,1,1,0,-6.969999999999999,-8.82
14,France,33,England,31,26.46,10.528693296604121,1,1,1,20.79,11.25354070628143,1,1,0,6.539999999999999,10.21
15,Wales,13,South Africa,41,15.68,9.053563936430375,1,1,1,31.86,13.549360351609614,1,1,0,-2.6799999999999997,9.14
16,New Zealand,16,England,15,27.65,10.635620661658434,1,0,0,20.1,11.206141816691687,1,1,1,-11.649999999999999,-5.100000000000001
17,Australia,25,Wales,16,31.8,11.369268318642623,1,1,1,22.52,11.722030040630704,1,1,1,-6.800000000000001,-6.52
18,South Africa,27,Ireland,20,22.15,10.161095458099965,1,1,1,18.15,10.738217689781152,1,1,1,4.850000000000001,1.8500000000000014
19,Argentina,13,France,28,24.46,10.51475800184944,1,0,0,27.97,12.493265029981808,1,1,1,-11.46,0.030000000000001137
20,New Zealand,24,England,17,27.58,10.536834654096932,1,1,1,19.61,11.039754085862212,1,1,1,-3.5799999999999983,-2.6099999999999994
21,Australia,36,Wales,28,31.3,11.505243668458219,1,1,1,22.04,11.716409020456826,1,1,1,4.699999999999999,5.960000000000001
22,South Africa,24,Ireland,25,21.93,10.383907933014882,1,1,1,18.41,10.854566422889853,1,1,1,2.0700000000000003,6.59
23,Argentina,33,France,25,24.14,10.464684346939064,1,1,0,27.89,12.417295340483701,1,1,1,8.86,-2.8900000000000006
24,Australia,7,South Africa,33,19.29,9.976289519349555,1,0,0,29.98,13.011837636419672,1,1,1,-12.29,3.0199999999999996
25,New Zealand,30,Argentina,38,31.25,10.949069930176945,1,1,1,22.61,11.66515429141243,1,0,0,-1.25,15.39
26,New Zealand,42,Argentina,10,31.02,10.874564681819972,1,0,0,22.26,11.473457348615899,1,0,0,10.98,-12.260000000000002
27,Australia,12,South Africa,30,19.35,9.958823787862977,1,1,0,29.92,12.867859472402976,1,1,1,-7.350000000000001,0.0799999999999983
28,Fiji,42,Samoa,16,33.37,11.781833936070425,1,1,0,21.71,11.602490772491745,1,1,1,8.630000000000003,-5.710000000000001
29,Canada,28,Japan,55,29.01,11.35010926760762,1,1,1,38.69,15.881066083255126,1,0,0,-1.0100000000000016,16.310000000000002
30,Samoa,43,Tonga,17,32.39,12.068146590996772,1,1,0,24.64,12.3520464482147,1,1,1,10.61,-7.640000000000001
31,USA,28,Canada,15,26.55,11.483276011065819,1,1,1,20.05,11.363275716132643,1,1,1,1.4499999999999993,-5.050000000000001
32,Tonga,19,Fiji,50,21.4,10.447461350342428,1,1,1,36.1,14.547965865309786,1,1,0,-2.3999999999999986,13.899999999999999
33,Japan,41,USA,24,29.65,11.466887051040585,1,1,0,26.33,12.713565297290168,1,1,1,11.350000000000001,-2.3299999999999983
34,Tonga,30,Canada,17,29.19,11.802965414858646,1,1,1,27.12,12.714961665161244,1,1,0,0.8099999999999987,-10.120000000000001
35,Fiji,22,USA,3,27.03,10.92510116798293,1,1,1,18.92,11.276968918555173,1,0,0,-5.030000000000001,-15.920000000000002
36,Samoa,27,Japan,49,32.43,11.455724242984923,1,1,1,34.32,13.754677545572441,1,0,0,-5.43,14.68
37,Samoa,18,USA,13,22.96,10.650454775414504,1,1,1,22.78,12.11985584478007,1,1,0,-4.960000000000001,-9.780000000000001
38,Fiji,41,Japan,17,38.96,11.815238469980148,1,1,1,27.35,12.541080338299933,1,1,0,2.039999999999999,-10.350000000000001
39,Japan,19,New Zealand,64,23.83,10.593549909573575,1,1,1,40.81,15.655856078979447,1,0,0,-4.829999999999998,23.189999999999998
40,England,22,New Zealand,24,20.38,9.902497505035553,1,1,1,25.53,11.905203639579389,1,1,1,1.620000000000001,-1.5300000000000011
41,Scotland,57,Fiji,17,30.64,11.968659346570224,0,0,0,23.61,12.059252684558823,1,1,1,26.36,-6.609999999999999
42,Ireland,13,New Zealand,23,20.67,10.059989641309064,1,1,0,21.5,11.470630217139034,1,1,1,-7.670000000000002,1.5
43,England,37,Australia,42,26.88,11.140018185568396,1,1,0,24.58,12.075862529293182,1,0,0,10.120000000000001,17.42
44,Italy,18,Argentina,50,23.14,10.24417019664532,1,1,1,27.76,12.97396888279383,1,0,0,-5.140000000000001,22.24
45,France,52,Japan,12,42.12,12.59539402229664,1,1,0,23.93,11.819148849134166,1,1,0,9.880000000000003,-11.93
46,Wales,19,Fiji,24,21.46,10.218659160287777,1,1,1,28.6,12.57067000307148,1,1,1,-2.460000000000001,-4.600000000000001
47,Scotland,15,South Africa,32,21.01,10.311836026107217,1,1,1,26.23,12.588298159294864,1,1,1,-6.010000000000002,5.77
48,Ireland,22,Argentina,19,26.69,10.836401329435333,1,1,1,20.84,11.369113620427326,1,1,1,-4.690000000000001,-1.8399999999999999
49,Japan,36,Uruguay,20,32.07,12.143679477272254,1,1,1,28.52,13.21187398074941,1,1,1,3.9299999999999997,-8.52
50,Spain,19,Fiji,33,23.0,10.701952857622242,1,1,1,27.79,13.276689991114331,1,1,1,-4.0,5.210000000000001
51,Scotland,59,Portugal,21,46.12,14.25091668368757,1,1,0,21.58,11.784412777920698,1,1,1,12.880000000000003,-0.5799999999999983
52,England,20,South Africa,29,17.62,9.658240833342008,1,1,1,26.23,12.401122279567,1,1,1,2.379999999999999,2.7699999999999996
53,France,30,New Zealand,29,23.45,10.389635101238138,1,1,1,24.36,11.941105714505836,1,1,1,6.550000000000001,4.640000000000001
54,Italy,20,Georgia,17,21.87,11.008385544617532,1,1,1,22.45,12.100038309984928,1,1,1,-1.870000000000001,-5.449999999999999
55,Wales,20,Australia,52,23.2,10.228980135991927,1,1,1,29.76,13.008487833172477,1,0,0,-3.1999999999999993,22.24
56,France,37,Argentina,23,29.75,10.850121777599519,1,1,0,23.36,11.608953703342575,1,1,1,7.25,-0.35999999999999943
