,home_team,home_score,away_team,away_score,Mean_x,std_x,95_flag_x,68_flag_x,50_flag_x,Mean_y,std_y,95_flag_y,68_flag_y,50_flag_y,home_resid,away_resid,home_resid_abs,away_resid_abs,Home Win (%),Away Win (%),Draw (%)
0,France,17,Ireland,38,21.81,9.173065790672167,1,1,1,22.73,11.371093282420121,1,0,0,-4.809999999999999,15.27,4.809999999999999,15.27,47.325,49.85,2.825
1,Italy,24,England,27,22.61,9.438670669114375,1,1,1,25.09,11.957395658649922,1,1,1,1.3900000000000006,1.9100000000000001,1.3900000000000006,1.9100000000000001,43.1,54.125,2.775
2,Wales,26,Scotland,27,22.16,9.187873662469462,1,1,1,32.13,15.501604011762783,1,1,1,3.84,-5.130000000000003,3.84,5.130000000000003,28.725,69.45,1.825
3,Scotland,16,France,20,28.01,11.221678169396055,1,0,0,25.79,12.853664844607549,1,1,1,-12.010000000000002,-5.789999999999999,12.010000000000002,5.789999999999999,55.825,41.699999999999996,2.475
4,England,16,Wales,14,30.49,12.240358614027613,1,0,0,20.45,10.434647140057013,1,1,1,-14.489999999999998,-6.449999999999999,14.489999999999998,6.449999999999999,74.325,23.7,1.975
5,Ireland,36,Italy,0,28.09,11.296435806815351,1,1,0,16.22,8.763778851043652,0,0,0,7.91,-16.22,7.91,16.22,79.95,17.7,2.35
6,Ireland,31,Wales,7,31.14,12.20705066498456,1,1,1,15.84,8.638373222864361,1,0,0,-0.14000000000000057,-8.84,0.14000000000000057,8.84,85.3,13.075000000000001,1.625
7,Scotland,30,England,21,29.86,11.686053054817098,1,1,1,23.73,11.563277754923126,1,1,1,0.14000000000000057,-2.7300000000000004,0.14000000000000057,2.7300000000000004,64.8,32.85,2.35
8,France,13,Italy,13,29.97,11.616711235866198,1,0,0,19.69,10.40996367668975,1,1,1,-16.97,-6.690000000000001,16.97,6.690000000000001,74.775,22.900000000000002,2.325
9,Italy,31,Scotland,29,22.42,9.234948565097696,1,1,0,28.23,13.65746710594611,1,1,1,8.579999999999998,0.7699999999999996,8.579999999999998,0.7699999999999996,36.225,61.45,2.325
10,England,23,Ireland,22,20.06,8.347374197913977,1,1,1,24.28,11.770254136487454,1,1,1,2.9400000000000013,-2.280000000000001,2.9400000000000013,2.280000000000001,38.85,58.15,3.0
11,Wales,24,France,45,21.35,8.93878346029257,1,1,1,30.6,14.987009122486715,1,1,0,2.6499999999999986,14.399999999999999,2.6499999999999986,14.399999999999999,29.2,67.925,2.875
12,Wales,21,Italy,24,23.52,9.603873564218762,1,1,1,24.76,12.326732025865573,1,1,1,-2.5199999999999996,-0.7600000000000016,2.5199999999999996,0.7600000000000016,46.875,49.975,3.15
13,Ireland,17,Scotland,13,26.09,10.639874576328426,1,1,0,20.94,10.681045802612214,1,1,1,-9.09,-7.940000000000001,9.09,7.940000000000001,63.925,33.575,2.5
14,France,33,England,31,28.4,10.960161925697083,1,1,1,22.59,11.305308042574515,1,1,0,4.600000000000001,8.41,4.600000000000001,8.41,64.125,33.5,2.375
15,Wales,13,South Africa,41,16.44,7.114303018391893,1,1,1,32.12,15.730957677061495,1,1,1,-3.4400000000000013,8.880000000000003,3.4400000000000013,8.880000000000003,16.2,81.6,2.1999999999999997
16,New Zealand,16,England,15,28.6,11.2792862252006,1,0,0,20.45,10.430020985117912,1,1,1,-12.600000000000001,-5.449999999999999,12.600000000000001,5.449999999999999,70.8,27.1,2.1
17,Australia,25,Wales,16,31.3,12.228777534978711,1,1,1,22.88,11.35942674609947,1,1,1,-6.300000000000001,-6.879999999999999,6.300000000000001,6.879999999999999,70.125,27.925,1.95
18,South Africa,27,Ireland,20,23.04,9.378021483100794,1,1,1,17.75,9.322928241706036,1,1,1,3.960000000000001,2.25,3.960000000000001,2.25,66.025,31.05,2.9250000000000003
19,Argentina,13,France,28,26.59,10.5128164518363,1,0,0,28.11,13.661131349562526,1,1,1,-13.59,-0.10999999999999943,13.59,0.10999999999999943,46.375,51.349999999999994,2.275
