Try,Conversion Goal,Penalty Goal,key,Missed Conversion,Penalty Try,Missed Penalty
2.0,0.0,1.0,https://www.flashscore.com/match/4OVmtFnk/#/match-summary,2.0,0.0,0.0
0.0,0.0,0.0,https://www.flashscore.com/match/6wFWmMgD/#/match-summary,0.0,0.0,0.0
2.0,2.0,2.0,https://www.flashscore.com/match/lQSQBCys/#/match-summary,0.0,1.0,0.0
3.0,2.0,2.0,https://www.flashscore.com/match/zTk4fB66/#/match-summary,1.0,0.0,1.0
3.0,1.0,3.0,https://www.flashscore.com/match/6wJXlGh5/#/match-summary,2.0,0.0,0.0
2.0,0.0,2.0,https://www.flashscore.com/match/SGRUAWjm/#/match-summary,2.0,0.0,0.0
2.0,2.0,2.0,https://www.flashscore.com/match/pOQNkrP0/#/match-summary,0.0,0.0,0.0
0.0,0.0,4.0,https://www.flashscore.com/match/xbNFi4fl/#/match-summary,0.0,0.0,0.0
4.0,2.0,3.0,https://www.flashscore.com/match/ETL9j6Wo/#/match-summary,2.0,0.0,0.0
2.0,0.0,0.0,https://www.flashscore.com/match/bDFPjxOh/#/match-summary,2.0,0.0,0.0
7.0,5.0,0.0,https://www.flashscore.com/match/6mbmbg7s/#/match-summary,2.0,0.0,0.0
