,url,Attribute,Home Result,Away Result
54,https://www.flashscore.com/match/n5Kq8YQi/#/match-summary/match-statistics/0,Conversion Goal Attempts,3,4
55,https://www.flashscore.com/match/n5Kq8YQi/#/match-summary/match-statistics/0,Penalty Goals,4,1
56,https://www.flashscore.com/match/n5Kq8YQi/#/match-summary/match-statistics/0,Penalty Goal Attempts,4,1
57,https://www.flashscore.com/match/n5Kq8YQi/#/match-summary/match-statistics/0,Goals %,86,80
58,https://www.flashscore.com/match/n5Kq8YQi/#/match-summary/match-statistics/0,Dropped Goals,0,0
59,https://www.flashscore.com/match/n5Kq8YQi/#/match-summary/match-statistics/0,Dropped Goal Attempts,0,0
60,https://www.flashscore.com/match/n5Kq8YQi/#/match-summary/match-statistics/0,Total Runs,92,177
61,https://www.flashscore.com/match/n5Kq8YQi/#/match-summary/match-statistics/0,Metres Run With Ball,337,676
62,https://www.flashscore.com/match/Y1Gu9EBo/#/match-summary/match-statistics/0,Tries,1,1
63,https://www.flashscore.com/match/Y1Gu9EBo/#/match-summary/match-statistics/0,Conversion Goals,1,1
64,https://www.flashscore.com/match/Y1Gu9EBo/#/match-summary/match-statistics/0,Conversion Goal Attempts,1,1
65,https://www.flashscore.com/match/Y1Gu9EBo/#/match-summary/match-statistics/0,Penalty Goals,2,2
66,https://www.flashscore.com/match/Y1Gu9EBo/#/match-summary/match-statistics/0,Penalty Goal Attempts,2,2
67,https://www.flashscore.com/match/Y1Gu9EBo/#/match-summary/match-statistics/0,Goals %,100,100
68,https://www.flashscore.com/match/Y1Gu9EBo/#/match-summary/match-statistics/0,Dropped Goals,0,0
69,https://www.flashscore.com/match/Y1Gu9EBo/#/match-summary/match-statistics/0,Dropped Goal Attempts,0,0
70,https://www.flashscore.com/match/Y1Gu9EBo/#/match-summary/match-statistics/0,Total Runs,142,114
71,https://www.flashscore.com/match/Y1Gu9EBo/#/match-summary/match-statistics/0,Metres Run With Ball,459,444
72,https://www.flashscore.com/match/Y1Gu9EBo/#/match-summary/match-statistics/0,Red Cards,1,0
73,https://www.flashscore.com/match/WdxcpVYp/#/match-summary/match-statistics/0,Tries,3,2
74,https://www.flashscore.com/match/WdxcpVYp/#/match-summary/match-statistics/0,Conversion Goals,3,1
75,https://www.flashscore.com/match/WdxcpVYp/#/match-summary/match-statistics/0,Conversion Goal Attempts,3,2
76,https://www.flashscore.com/match/WdxcpVYp/#/match-summary/match-statistics/0,Penalty Goals,3,2
77,https://www.flashscore.com/match/WdxcpVYp/#/match-summary/match-statistics/0,Penalty Goal Attempts,3,3
78,https://www.flashscore.com/match/WdxcpVYp/#/match-summary/match-statistics/0,Goals %,100,67
