,url,Attribute,Home Result,Away Result
54,https://www.flashscore.com/match/zmnrWzOl/#/match-summary/match-statistics/0,Metres Run With Ball,780,493
55,https://www.flashscore.com/match/zmnrWzOl/#/match-summary/match-statistics/0,Yellow Cards,0,1
56,https://www.flashscore.com/match/tQnvXG8r/#/match-summary/match-statistics/0,Tries,2,0
57,https://www.flashscore.com/match/tQnvXG8r/#/match-summary/match-statistics/0,Conversion Goals,1,0
58,https://www.flashscore.com/match/tQnvXG8r/#/match-summary/match-statistics/0,Conversion Goal Attempts,2,0
59,https://www.flashscore.com/match/tQnvXG8r/#/match-summary/match-statistics/0,Penalty Goals,2,4
60,https://www.flashscore.com/match/tQnvXG8r/#/match-summary/match-statistics/0,Penalty Goal Attempts,3,7
61,https://www.flashscore.com/match/tQnvXG8r/#/match-summary/match-statistics/0,Goals %,50,57
62,https://www.flashscore.com/match/tQnvXG8r/#/match-summary/match-statistics/0,Dropped Goals,0,0
63,https://www.flashscore.com/match/tQnvXG8r/#/match-summary/match-statistics/0,Dropped Goal Attempts,1,0
64,https://www.flashscore.com/match/tQnvXG8r/#/match-summary/match-statistics/0,Total Runs,122,121
65,https://www.flashscore.com/match/tQnvXG8r/#/match-summary/match-statistics/0,Metres Run With Ball,496,322
66,https://www.flashscore.com/match/tQnvXG8r/#/match-summary/match-statistics/0,Yellow Cards,2,2
67,https://www.flashscore.com/match/UmKAlqvG/#/match-summary/match-statistics/0,Tries,1,2
68,https://www.flashscore.com/match/UmKAlqvG/#/match-summary/match-statistics/0,Conversion Goals,1,2
69,https://www.flashscore.com/match/UmKAlqvG/#/match-summary/match-statistics/0,Conversion Goal Attempts,1,2
70,https://www.flashscore.com/match/UmKAlqvG/#/match-summary/match-statistics/0,Penalty Goals,4,2
71,https://www.flashscore.com/match/UmKAlqvG/#/match-summary/match-statistics/0,Penalty Goal Attempts,4,3
72,https://www.flashscore.com/match/UmKAlqvG/#/match-summary/match-statistics/0,Goals %,100,80
73,https://www.flashscore.com/match/UmKAlqvG/#/match-summary/match-statistics/0,Dropped Goals,0,0
74,https://www.flashscore.com/match/UmKAlqvG/#/match-summary/match-statistics/0,Dropped Goal Attempts,0,0
75,https://www.flashscore.com/match/UmKAlqvG/#/match-summary/match-statistics/0,Total Runs,113,112
76,https://www.flashscore.com/match/UmKAlqvG/#/match-summary/match-statistics/0,Metres Run With Ball,368,279
77,https://www.flashscore.com/match/nPU5kPO9/#/match-summary/match-statistics/0,Tries,3,4
78,https://www.flashscore.com/match/nPU5kPO9/#/match-summary/match-statistics/0,Conversion Goals,2,2
79,https://www.flashscore.com/match/nPU5kPO9/#/match-summary/match-statistics/0,Conversion Goal Attempts,3,4
80,https://www.flashscore.com/match/nPU5kPO9/#/match-summary/match-statistics/0,Penalty Goals,4,1
81,https://www.flashscore.com/match/nPU5kPO9/#/match-summary/match-statistics/0,Penalty Goal Attempts,5,1
82,https://www.flashscore.com/match/nPU5kPO9/#/match-summary/match-statistics/0,Goals %,67,60
83,https://www.flashscore.com/match/nPU5kPO9/#/match-summary/match-statistics/0,Dropped Goals,0,0
84,https://www.flashscore.com/match/nPU5kPO9/#/match-summary/match-statistics/0,Dropped Goal Attempts,1,0
85,https://www.flashscore.com/match/nPU5kPO9/#/match-summary/match-statistics/0,Total Runs,106,100
86,https://www.flashscore.com/match/nPU5kPO9/#/match-summary/match-statistics/0,Metres Run With Ball,376,356
87,https://www.flashscore.com/match/nPU5kPO9/#/match-summary/match-statistics/0,Yellow Cards,1,1
88,https://www.flashscore.com/match/8YV1j593/#/match-summary/match-statistics/0,Tries,0,4
89,https://www.flashscore.com/match/8YV1j593/#/match-summary/match-statistics/0,Conversion Goals,0,2
90,https://www.flashscore.com/match/8YV1j593/#/match-summary/match-statistics/0,Conversion Goal Attempts,0,4
91,https://www.flashscore.com/match/8YV1j593/#/match-summary/match-statistics/0,Penalty Goals,4,2
92,https://www.flashscore.com/match/8YV1j593/#/match-summary/match-statistics/0,Penalty Goal Attempts,5,2
93,https://www.flashscore.com/match/8YV1j593/#/match-summary/match-statistics/0,Goals %,80,67
94,https://www.flashscore.com/match/8YV1j593/#/match-summary/match-statistics/0,Dropped Goals,0,0
95,https://www.flashscore.com/match/8YV1j593/#/match-summary/match-statistics/0,Dropped Goal Attempts,0,0
96,https://www.flashscore.com/match/8YV1j593/#/match-summary/match-statistics/0,Total Runs,70,64
97,https://www.flashscore.com/match/8YV1j593/#/match-summary/match-statistics/0,Metres Run With Ball,165,253
98,https://www.flashscore.com/match/8YV1j593/#/match-summary/match-statistics/0,Yellow Cards,1,0
99,https://www.flashscore.com/match/EcHbiofc/#/match-summary/match-statistics/0,Tries,6,1
100,https://www.flashscore.com/match/EcHbiofc/#/match-summary/match-statistics/0,Conversion Goals,6,1
101,https://www.flashscore.com/match/EcHbiofc/#/match-summary/match-statistics/0,Conversion Goal Attempts,6,1
102,https://www.flashscore.com/match/EcHbiofc/#/match-summary/match-statistics/0,Penalty Goals,0,1
103,https://www.flashscore.com/match/EcHbiofc/#/match-summary/match-statistics/0,Penalty Goal Attempts,0,1
104,https://www.flashscore.com/match/EcHbiofc/#/match-summary/match-statistics/0,Goals %,100,100
105,https://www.flashscore.com/match/EcHbiofc/#/match-summary/match-statistics/0,Dropped Goals,0,0
106,https://www.flashscore.com/match/EcHbiofc/#/match-summary/match-statistics/0,Dropped Goal Attempts,0,0
107,https://www.flashscore.com/match/EcHbiofc/#/match-summary/match-statistics/0,Total Runs,110,129
108,https://www.flashscore.com/match/EcHbiofc/#/match-summary/match-statistics/0,Metres Run With Ball,468,322
109,https://www.flashscore.com/match/EcHbiofc/#/match-summary/match-statistics/0,Yellow Cards,1,0
110,https://www.flashscore.com/match/WYiEqZzi/#/match-summary/match-statistics/0,Tries,3,4
111,https://www.flashscore.com/match/WYiEqZzi/#/match-summary/match-statistics/0,Conversion Goals,3,3
112,https://www.flashscore.com/match/WYiEqZzi/#/match-summary/match-statistics/0,Conversion Goal Attempts,3,4
113,https://www.flashscore.com/match/WYiEqZzi/#/match-summary/match-statistics/0,Penalty Goals,3,4
114,https://www.flashscore.com/match/WYiEqZzi/#/match-summary/match-statistics/0,Penalty Goal Attempts,4,4
115,https://www.flashscore.com/match/WYiEqZzi/#/match-summary/match-statistics/0,Goals %,86,78
116,https://www.flashscore.com/match/WYiEqZzi/#/match-summary/match-statistics/0,Dropped Goals,0,0
117,https://www.flashscore.com/match/WYiEqZzi/#/match-summary/match-statistics/0,Dropped Goal Attempts,0,1
118,https://www.flashscore.com/match/WYiEqZzi/#/match-summary/match-statistics/0,Total Runs,127,102
119,https://www.flashscore.com/match/WYiEqZzi/#/match-summary/match-statistics/0,Metres Run With Ball,295,397
120,https://www.flashscore.com/match/z7IfhRvi/#/match-summary/match-statistics/0,Tries,1,5
